stop_lat,stop_lon,type,multimodal
28.666864,77.218926,Bus,Tees Hazari Court(U02512_47)
28.668328,77.225017,Bus,ISBT Nityanand Marg(U02690_48)
28.669469,77.228659,Bus,ISBT Bridge(DC3575_49)
28.673867,77.241633,Bus,Metro Train Depot(U02946_50)
28.674383,77.243117,Bus,Metro Train Depot(DC3576_51)
28.6741,77.24775,Bus,Shyam Giri Mandir(U03019_52)
28.6734543883493,77.2519536225461,Bus,Shastri Park GT Road(DC3577_53)
28.6726111562185,77.2572326120276,Bus,Shastri Park GT Road(U03126_54)
28.6712510847409,77.2616747919392,Bus,Dharampura GT Road(U03184_55)
28.670783,77.265423,Bus,Seelampur Metro Station(U03193_56)
28.672117,77.273467,Bus,Seelam Pur Petrol Pump(U03268_57)
28.6725362922399,77.2763248221347,Bus,Welcome Metro Station(U03300_58)
28.6736,77.283533,Bus,Shahdara (Shyam Lal College)(U03350_59)
28.6759,77.2999,Bus,Mansarovar Park Metro Station(U03509_60)
28.676067,77.30925,Bus,Telephone Exchange(U03614_61)
28.67615,77.311883,Bus,Dilshad Garden GT Road(U03636_62)
28.676518,77.321617,Bus,Shahdara Border Circle(U03746_63)
28.666390619,77.3215430001921,Bus,Surya Nagar (Gazipur Road)(U99883A_64)
28.662479,77.320324,Bus,Ram Prastha Temple(U03715_65)
28.6608,77.3202,Bus,Ram Prastha Crossing(U03712_66)
28.647061,77.317903,Bus,Anand Vihar ISBT Main Road(DC3612_67)
28.618288,76.930672,Bus,Kair Depot(DC3531_69)
28.6082685799431,76.9447822575366,Bus,Mitraon Village (Dhansa Road)(DC4030_70)
28.607199,76.939964,Bus,Mitraon School(U00079_71)
28.6042512214927,76.9324376475528,Bus,Surehra Crossing(U00067_72)
28.6001675792429,76.9161323561128,Bus,Rawta Crossing (Dhansa Road)(U00051_73)
28.594840102931,76.9153475629006,Bus,Jaffarpur Kalan RTRM Hospital(DC4018_74)
28.578394,76.909982,Bus,Samaspur Khalsa(DC4008_75)
